Reference,Pin,Pin name,Net,Type,Circuit sheet
J1,1,3V3,INTENTIONAL_NC,passive,1
J1,2,5V,+5V_RAW,passive,1
J1,3,GPIO2,INTENTIONAL_NC,passive,1
J1,4,5V,+5V_RAW,passive,1
J1,5,GPIO3,INTENTIONAL_NC,passive,1
J1,6,GND,GND,passive,1
J1,7,GPIO4,INTENTIONAL_NC,passive,1
J1,8,GPIO14,INTENTIONAL_NC,passive,1
J1,9,GND,GND,passive,1
J1,10,GPIO15,INTENTIONAL_NC,passive,1
J1,11,GPIO17,CRESET_N,passive,1
J1,12,GPIO18,INTENTIONAL_NC,passive,1
J1,13,GPIO27,CDONE,passive,1
J1,14,GND,GND,passive,1
J1,15,GPIO22,READY,passive,1
J1,16,GPIO23,FRAME_READY,passive,1
J1,17,3V3,INTENTIONAL_NC,passive,1
J1,18,GPIO24,HOST_RESET,passive,1
J1,19,GPIO10,HOST_MOSI,passive,1
J1,20,GND,GND,passive,1
J1,21,GPIO9,HOST_MISO,passive,1
J1,22,GPIO25,INTENTIONAL_NC,passive,1
J1,23,GPIO11,HOST_SCK,passive,1
J1,24,GPIO8,HOST_CS_N,passive,1
J1,25,GND,GND,passive,1
J1,26,GPIO7,INTENTIONAL_NC,passive,1
J1,27,ID_SD,INTENTIONAL_NC,passive,1
J1,28,ID_SC,INTENTIONAL_NC,passive,1
J1,29,GPIO5,INTENTIONAL_NC,passive,1
J1,30,GND,GND,passive,1
J1,31,GPIO6,INTENTIONAL_NC,passive,1
J1,32,GPIO12,INTENTIONAL_NC,passive,1
J1,33,GPIO13,INTENTIONAL_NC,passive,1
J1,34,GND,GND,passive,1
J1,35,GPIO19,INTENTIONAL_NC,passive,1
J1,36,GPIO16,INTENTIONAL_NC,passive,1
J1,37,GPIO26,INTENTIONAL_NC,passive,1
J1,38,GPIO20,INTENTIONAL_NC,passive,1
J1,39,GND,GND,passive,1
J1,40,GPIO21,INTENTIONAL_NC,passive,1
U1,1,VCCIO_2,+3V3,power_in,4
U1,2,IOB_6A,INTENTIONAL_NC,no_connect,4
U1,3,IOB_9B,INTENTIONAL_NC,no_connect,4
U1,4,IOB_8A,INTENTIONAL_NC,no_connect,4
U1,5,VCC,+1V2,power_in,4
U1,6,IOB_13B,INTENTIONAL_NC,no_connect,4
U1,7,CDONE,CDONE,output,3
U1,8,CRESET_B,CRESET_N,input,3
U1,9,IOB_16A,READY,output,3
U1,10,IOB_18A,FRAME_READY,output,3
U1,11,IOB_20A,GND,input,3
U1,12,IOB_22A,SOFT_RESET,input,3
U1,13,IOB_24A,INTENTIONAL_NC,no_connect,4
U1,14,SPI_SO,FPGA_MISO,output,3
